,o_0,o_1,o_2,o_3,o_4,o_5
98,-128321.57611846924,-2279.9398005008698,-472.54161834716797,-109.71899032592773,-365.0662899017334,-947.3268508911133
99,-8234323.883056641,-139801.9790649414,-48.938995599746704,-17.41330623626709,-49.643564224243164,-115.99586009979248
100,-7615185.546875,-129830.04570007324,-82.5418472290039,-33.695247173309326,-50.71156620979309,-166.948664188385
101,-61336.225271224976,-1912.9925966262817,-499.0783214569092,-110.58809280395508,-394.61965560913086,-1004.286003112793
102,-355051.8035888672,-3650.341033935547,-433.30345153808594,-111.60618782043457,-343.8548803329468,-888.7645721435547
103,-3457483.673095703,-55961.9140625,-301.1626720428467,-68.69139671325684,-210.36601066589355,-580.2200794219971
104,-7374938.201904297,-125610.17990112305,-104.45214509963989,-34.968132972717285,-84.97105240821838,-224.3913173675537
105,-184239.23254013062,-2587.122917175293,-466.455602645874,-110.98200798034668,-349.0288257598877,-926.4663696289062
106,-3648300.552368164,-39415.98415374756,-391.5959596633911,-69.41640853881836,-269.77195739746094,-730.7843685150146
107,-2790492.630004883,-45883.474349975586,-305.5870056152344,-66.60420894622803,-267.94962882995605,-640.1407718658447
108,-3573765.5639648438,-45441.12682342529,-365.8658742904663,-65.75827121734619,-233.0418825149536,-664.6659851074219
109,-188352.3941040039,-2611.449360847473,-455.6403160095215,-109.70399856567383,-356.8070888519287,-922.1513748168945
110,-2042349.0524291992,-14518.810510635376,-391.39044284820557,-111.09254837036133,-297.30775356292725,-799.7907161712646
111,-120696.92611694336,-2257.3301196098328,-466.6293144226074,-109.8094367980957,-372.381591796875,-948.8204002380371
112,-4113691.3299560547,-65323.20499420166,-297.48120307922363,-53.21018695831299,-211.206316947937,-561.8977546691895
113,-8488188.171386719,-146258.82148742676,-28.36991548538208,-20.59718608856201,-29.451876878738403,-78.4189760684967
114,-3067795.181274414,-24145.78914642334,-365.4125452041626,-109.37211036682129,-297.5600242614746,-772.3446369171143
115,-206465.84033966064,-2746.7748522758484,-463.2216453552246,-109.53473091125488,-341.10405445098877,-913.8604164123535
116,-47501.81436538696,-1836.3180756568909,-537.5864028930664,-111.65949821472168,-399.2553234100342,-1048.5013008117676
117,-40206.91514015198,-1788.3345484733582,-630.4622173309326,-115.15177726745605,-488.68560791015625,-1234.299659729004
118,-5689068.984985352,-93654.74700927734,-162.9619836807251,-56.788668632507324,-127.32161283493042,-347.07229137420654
119,-6952874.755859375,-116735.85891723633,-112.01530694961548,-40.39772987365723,-73.15301895141602,-225.56607723236084
120,-250871.1576461792,-2943.825125694275,-445.725154876709,-108.65041732788086,-357.61001110076904,-911.9854927062988
121,-6717693.328857422,-112177.08587646484,-112.41283416748047,-36.88573122024536,-107.80661106109619,-257.1051836013794
122,-7747770.690917969,-131613.6360168457,-68.20489168167114,-33.65692615509033,-50.94306468963623,-152.80487537384033
123,-1261436.8438720703,-8666.314482688904,-420.1786518096924,-108.88304710388184,-294.25859451293945,-823.3202934265137
124,-2734640.5029296875,-45302.886962890625,-280.59232234954834,-84.18622016906738,-304.01906967163086,-668.7976360321045
125,-61806.47015571594,-1916.2693619728088,-494.02379989624023,-115.03608703613281,-381.8920135498047,-990.9519195556641
126,-3347832.489013672,-25574.121475219727,-372.16954231262207,-105.89826583862305,-292.7986145019531,-770.8664894104004
127,-4176222.2290039062,-68470.90721130371,-260.6768846511841,-59.02797222137451,-188.92465829849243,-508.62951278686523
128,-695208.9309692383,-5493.095517158508,-410.76526641845703,-110.68474769592285,-334.4845771789551,-855.9346199035645
129,-89319.71192359924,-2037.4959707260132,-481.9215774536133,-110.60168266296387,-370.5585479736328,-963.0818367004395
130,-4350888.442993164,-38204.243183135986,-359.1794490814209,-110.57634353637695,-270.735502243042,-740.4912948608398
131,-2427461.2426757812,-17491.084337234497,-374.42705631256104,-113.21500778198242,-298.83737564086914,-786.4794731140137
132,-8344417.572021484,-142150.0015258789,-47.035202383995056,-15.753812789916992,-37.703949213027954,-100.49296617507935
133,-48270.31493186951,-1842.9650366306305,-506.1145782470703,-114.10494804382324,-417.02070236206055,-1037.240219116211
134,-358440.4945373535,-3561.6308450698853,-439.2923355102539,-108.07038307189941,-343.1253433227539,-890.4880523681641
135,-535156.4884185791,-4560.981094837189,-422.63522148132324,-111.95508003234863,-329.48474884033203,-864.0750885009766
136,-8457350.158691406,-145132.40814208984,-37.6166969537735,-15.16198992729187,-32.932621240615845,-85.71131229400635
137,-7844820.404052734,-133873.65341186523,-59.97423529624939,-28.55808734893799,-46.09406590461731,-134.6263885498047
138,-321156.38256073,-3503.468930721283,-438.1962776184082,-110.88321685791016,-344.33624744415283,-893.4157371520996
139,-5356148.147583008,-84847.5170135498,-202.0582914352417,-54.93466377258301,-157.05831050872803,-414.0512466430664
