,budget,env,id,name,o_0,o_1,o_5
608,5.0,ode,16i4942q,winter-sea-2097,-720551.4430999756,-12336.223125457764,-932.0333862304688
609,5.0,ode,16i4942q,winter-sea-2097,-421875.7629394531,-7698.606252670288,-996.443738937378
610,5.0,ode,16i4942q,winter-sea-2097,-221271.61026000977,-4574.045836925507,-1047.7432823181152
611,5.0,ode,16i4942q,winter-sea-2097,-4573043.441772461,-72437.82997131348,-445.4964208602905
612,5.0,ode,16i4942q,winter-sea-2097,-70712.85843849182,-2279.8746824264526,-1145.0611209869385
613,5.0,ode,16i4942q,winter-sea-2097,-2180739.212036133,-36556.58721923828,-701.8368101119995
614,5.0,ode,16i4942q,winter-sea-2097,-2593026.351928711,-43503.3655166626,-646.8666744232178
615,5.0,ode,16i4942q,winter-sea-2097,-4460449.600219727,-71650.21419525146,-446.7531967163086
616,5.0,ode,16i4942q,winter-sea-2097,-8090857.696533203,-138164.05296325684,-99.7298526763916
617,5.0,ode,16i4942q,winter-sea-2097,-671178.7700653076,-11159.58571434021,-948.2341861724854
618,5.0,ode,16i4942q,winter-sea-2097,-229138.77964019772,-4591.547846794128,-1047.1560287475586
619,5.0,ode,16i4942q,winter-sea-2097,-3736623.764038086,-62511.610984802246,-507.3107814788818
620,5.0,ode,16i4942q,winter-sea-2097,-185570.16849517825,-3947.260975837708,-1060.7598495483398
621,5.0,ode,16i4942q,winter-sea-2097,-7735151.672363281,-127747.42126464844,-107.85910248756409
622,5.0,ode,16i4942q,winter-sea-2097,-1470031.2614440918,-25577.259063720703,-794.3562412261963
623,5.0,ode,16i4942q,winter-sea-2097,-133375.5612373352,-3206.152319908142,-1084.911060333252
624,5.0,ode,16i4942q,winter-sea-2097,-227105.90362548828,-4673.862457275391,-1044.7167205810547
625,5.0,ode,16i4942q,winter-sea-2097,-8332498.168945312,-143085.28900146484,-81.71733856201172
626,5.0,ode,16i4942q,winter-sea-2097,-1091696.2623596191,-18293.569087982178,-877.4165725708008
627,5.0,ode,16i4942q,winter-sea-2097,-2006896.40045166,-34687.371253967285,-735.216064453125
628,5.0,ode,16i4942q,winter-sea-2097,-142279.23154830933,-3337.3183012008667,-1084.2797756195068
629,5.0,ode,16i4942q,winter-sea-2097,-912307.1670532228,-15583.775043487549,-892.2553253173828
630,5.0,ode,16i4942q,winter-sea-2097,-5395195.388793945,-89402.32276916504,-325.34682512283325
631,5.0,ode,16i4942q,winter-sea-2097,-131461.90643310547,-3205.8635354042053,-1094.5158576965332
632,5.0,ode,16i4942q,winter-sea-2097,-1505090.7135009766,-25629.39167022705,-788.1615829467773
