,mu_o_1,mu_o_5,mu_o_0,std_o_1,std_o_5,std_o_0
51,-132056.44607543945,-158.05734906790914,-7745836.852092917,0.0,28.99021409269419,121720.523247075
52,-131711.36856079102,-159.96607813528374,-7736510.17500321,0.0,30.386833077844337,123005.43737830957
53,-131706.6192626953,-160.07537214977583,-7728980.1139698075,0.0,30.5393936422855,132147.9065013777
54,-131680.42182922363,-161.6039782327832,-7721041.837136763,0.0,32.9130124055236,142128.76737148725
55,-131533.02192687988,-162.03921577210866,-7716663.261551988,0.0,32.89325725931152,143696.84576375826
56,-131393.68057250977,-162.401812327242,-7714050.2743483875,0.0,32.85476431990807,143929.84484344255
57,-131386.26098632812,-162.4169627460251,-7713819.934238946,0.0,32.85468574980386,143851.8103117296
58,-131042.3755645752,-163.14617658939193,-7703745.713867145,0.0,32.81658864002248,141789.60809783216
59,-130717.4015045166,-163.8237007792276,-7673496.5247269375,0.0,32.78630608551569,127062.0715964501
60,-130219.77424621582,-164.64795477094987,-7663090.193200906,0.0,32.79700442949506,127980.9799208144
61,-130070.13320922852,-164.95134398913348,-7652243.205954894,0.0,32.78635619716938,122838.41722425415
62,-129896.12579345706,-165.36459740816184,-7643097.908360561,1.4551915228366852e-11,32.74509897977076,119673.82029456626
63,-129546.33712768558,-166.29287314359726,-7625280.559188259,1.4551915228366852e-11,32.822120442996415,114719.79715822123
64,-128748.12126159668,-168.11119954529823,-7609062.348750141,0.0,33.076403122303766,117141.2412719776
65,-128551.06353759766,-168.5318538650668,-7603995.748028895,0.0,33.14810636824956,117526.2998537669
66,-127850.4657745361,-169.97247124368602,-7584142.252056608,1.4551915228366852e-11,33.48590131262788,118766.07633905306
67,-127158.0982208252,-173.15166042133419,-7542138.666728461,0.0,33.33608362593622,97277.74242191
68,-126255.28335571286,-175.92551218381658,-7516730.273164826,1.4551915228366852e-11,33.78094249739593,100119.20063704417
69,-125910.24398803714,-177.0856962231419,-7502038.528790733,1.4551915228366852e-11,34.03953289574974,102025.94377499787
70,-125190.46783447266,-178.38000998534648,-7465694.411809439,0.0,34.59874225802675,101420.47202095599
71,-124998.2738494873,-178.7537928496782,-7456915.836420044,0.0,34.709460112185376,101647.45559860523
72,-124104.49028015137,-180.77200484460838,-7404111.4772692025,0.0,35.10394762640409,97157.0463203818
73,-123933.10546875,-181.08846535815377,-7396264.218035204,0.0,35.21733969787469,97775.77069850393
