,mu_o_1,mu_o_5,mu_o_0,std_o_1,std_o_5,std_o_0
80,-128296.0033416748,-167.53840375777057,-7535196.57193121,0.0,32.659637738184394,89455.44862966008
81,-128034.00039672852,-168.56724504379116,-7513590.873768386,0.0,32.911442117096534,94780.56123238182
82,-127968.9979553223,-168.9265054140764,-7513219.399880427,1.4551915228366852e-11,32.91683692822623,98053.54005507172
83,-127781.99195861816,-170.18454498777353,-7527074.859301655,0.0,32.86384604199746,104553.21316074593
84,-127522.00126647946,-171.36631067360915,-7523014.212598143,1.4551915228366852e-11,33.090675796035406,113953.66202428698
85,-127477.99873352054,-171.52592385867615,-7521135.911055501,1.4551915228366852e-11,33.145903197413666,115090.98919553433
86,-127343.0061340332,-171.82792911153697,-7519439.621311838,0.0,33.19777341555481,111978.22503771438
87,-127185.01091003418,-172.22673188532903,-7525632.092381147,0.0,33.172181839199204,110497.5677848075
88,-127009.0103149414,-172.73251536373294,-7521626.009977793,0.0,33.23034790731906,115072.69750036538
89,-126651.99279785156,-173.5735332061325,-7494288.576399994,0.0,33.59509219415815,105256.79814373469
90,-126225.99601745603,-175.53560103796693,-7468517.777467711,1.4551915228366852e-11,34.07571216951127,104689.35167999408
91,-125796.0033416748,-176.37079095618225,-7432820.808382846,0.0,34.58581437183895,105087.28593758734
92,-125499.0005493164,-177.90541564531927,-7410058.084250244,0.0,34.43101433166576,107771.55614752801
93,-125331.99310302734,-178.4883118974797,-7401856.540095289,0.0,34.22483158984622,105686.69691569098
94,-125172.00469970706,-178.88653575082554,-7389277.99709962,1.4551915228366852e-11,34.10616818749373,108886.89356258264
95,-125057.0011138916,-179.0636697608756,-7384225.522327049,0.0,34.05392933962704,107090.07263573869
96,-124788.99955749512,-179.82772140924004,-7376033.001974759,0.0,34.03815869554991,100643.38977347086
97,-123813.99154663086,-183.05105039137464,-7353145.535446447,0.0,34.08113052778947,91320.6742993565
98,-123287.0006561279,-185.4678592775523,-7332286.176849304,1.4551915228366852e-11,33.45443000893137,90692.62514548424
99,-123179.98886108398,-186.3287870073737,-7329145.80534747,0.0,33.07538044821996,92208.41582790174
