,mu_o_1,mu_o_5,mu_o_0,std_o_1,std_o_5,std_o_0
46,-126960.00099182126,-137.32179947047467,-7449226.469178836,1.4551915228366852e-11,11.35756367077039,118219.09205718934
47,-125704.0023803711,-141.09093939533855,-7368186.7902908055,0.0,13.881121529256374,141263.08794359086
48,-125449.00894165042,-141.94712984791187,-7359570.321237342,1.4551915228366852e-11,14.56730041950204,135000.7109299221
49,-124336.99607849118,-147.04554182158972,-7311124.981711631,1.4551915228366852e-11,16.439682407478546,117196.51061199434
50,-124165.9927368164,-148.35174658172605,-7306187.912567867,0.0,17.885715124391673,117436.48522037234
51,-123358.99353027344,-151.2181354933012,-7263272.502502275,0.0,17.244803531420704,125342.07407225436
52,-122660.9992980957,-155.2819316980351,-7230625.74659645,0.0,15.864708153658707,130342.45790776913
53,-122131.99615478516,-160.48908551555763,-7159385.45302932,0.0,17.55313725465108,122927.27604972437
54,-121753.99780273438,-162.0921612364329,-7164006.418201337,0.0,17.425810090275338,136454.54495016165
55,-121526.0028839111,-163.04822324141693,-7149450.464744868,1.4551915228366852e-11,17.525261269942252,136316.42254363603
56,-121062.9940032959,-166.3557400546862,-7124487.619719202,0.0,18.44889779022589,130480.03169900697
57,-120198.0018615723,-169.80929591364895,-7079811.409377089,1.4551915228366852e-11,19.28359324625167,128869.06633239184
58,-119863.9965057373,-172.50859923062382,-7057806.056472784,0.0,18.755369238160846,123311.53223523957
59,-119343.99604797363,-177.3924810711771,-7035477.584069639,0.0,19.602508302826198,115442.40792620878
60,-119032.01103210446,-184.4569255338651,-7018214.913172578,1.4551915228366852e-11,16.638319323101555,118355.66776827913
61,-118917.98973083496,-186.80158854270516,-7013631.6036471175,0.0,17.172370098245224,121467.02794082937
62,-118632.99369812012,-188.93542246364134,-6995137.307429405,0.0,16.34415195323282,122561.9795544466
63,-118203.0010223389,-192.20639021032022,-6959352.010689089,1.4551915228366852e-11,15.398034581391656,121527.65724923508
64,-117321.00486755374,-202.30597450553987,-6901777.099045843,1.4551915228366852e-11,17.439110444417363,106633.04882518086
65,-116925.99296569824,-205.9158723694129,-6887672.435426505,0.0,17.935623825166893,97820.6342507982
66,-116386.99531555176,-210.10208179297584,-6856056.505057426,0.0,17.81030920889421,93438.59379379157
67,-114904.99496459958,-218.23596150130874,-6782823.137692971,1.4551915228366852e-11,16.16598328845812,98952.94606585287
68,-113823.0037689209,-224.95522521066428,-6719827.935893851,0.0,16.897753571657073,107167.56688436963
69,-112787.99057006836,-229.51959231330275,-6671158.05527871,0.0,17.630136281337972,115226.04973288231
70,-112482.99598693848,-230.62766823154575,-6659851.767722574,0.0,17.985007882662423,112752.47019335043
71,-112033.00476074222,-232.57886655500755,-6649858.150864838,1.4551915228366852e-11,18.85503555839816,104212.23240841254
72,-110805.99784851074,-244.13117691880421,-6559661.197010739,0.0,19.631629077183174,104831.44856945096
73,-110426.9981384277,-245.8519224788683,-6541364.7142427005,1.4551915228366852e-11,20.483545649401528,120813.10946585884
